asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
FIL,2025-11-14 17:00:00+00:00,1.977,-1.0,1.7546887657010606,2.0310397958999458,3750.0,3.0,0.925561785697937,4.11,2025-11-19 21:00:00+00:00,2025-11-14 19:00:00+00:00,2.0310397958999458,sl,-107.37840648699861,1
ATOM,2025-11-15 05:00:00+00:00,2.942,-1.0,2.785204328126907,2.980114160684399,3669.4661951347507,3.0,0.9543889164924622,4.11,2025-11-20 09:00:00+00:00,2025-11-16 15:00:00+00:00,2.785204328126907,tp,191.89695715012536,1
ICP,2025-11-14 17:00:00+00:00,5.472,-1.0,4.883571428571429,5.766214285714286,2812.5,3.0,0.9638668894767761,2.0,2025-11-19 21:00:00+00:00,2025-11-16 17:00:00+00:00,4.883571428571429,tp,299.6281719924812,1
ATOM,2025-11-16 15:00:00+00:00,2.756,-1.0,2.6453351361271285,2.7829006048022906,2542.2592753315635,2.0,0.9050877094268799,4.11,2025-11-21 19:00:00+00:00,2025-11-17 00:00:00+00:00,2.7829006048022906,sl,-28.11927380345088,1
FIL,2025-11-16 11:00:00+00:00,1.979,-1.0,1.825148847786496,2.0163984017983068,2446.3107967565006,2.0,0.8690059185028076,4.11,2025-11-21 15:00:00+00:00,2025-11-17 16:00:00+00:00,2.0163984017983068,sl,-49.40967048380534,1
POL,2025-11-14 18:00:00+00:00,0.1553,-1.0,0.1440126746382437,0.15804374239668598,1250.0,1.0,0.8318397998809814,4.11,2025-11-19 22:00:00+00:00,2025-11-17 18:00:00+00:00,0.1440126746382437,tp,89.60097683319628,1
FIL,2025-11-17 16:00:00+00:00,2.082,-1.0,1.9279034711481968,2.1194580483721475,3979.9633337762634,3.0,0.9729881882667542,4.11,2025-11-22 20:00:00+00:00,2025-11-17 18:00:00+00:00,2.1194580483721475,sl,-76.77897590545821,1
POL,2025-11-17 18:00:00+00:00,0.1449,-1.0,0.13587013971059497,0.1470949939173488,2659.7198896480445,2.0,0.8976702094078064,4.11,2025-11-22 22:00:00+00:00,2025-11-18 03:00:00+00:00,0.1470949939173488,sl,-43.7479669788961,1
DOT,2025-11-17 19:00:00+00:00,2.652,-1.0,2.473365807318292,2.695422705756248,1329.8599448240223,1.0,0.8223179578781128,4.11,2025-11-22 23:00:00+00:00,2025-11-18 03:00:00+00:00,2.695422705756248,sl,-23.50337188042559,1
FIL,2025-11-17 18:00:00+00:00,2.135,-1.0,1.943606222126741,2.1815243275959797,3989.579834472067,3.0,0.9489037394523621,4.11,2025-11-22 22:00:00+00:00,2025-11-18 11:00:00+00:00,1.943606222126741,tp,353.6594865105301,1
ICP,2025-11-17 18:00:00+00:00,5.578,-1.0,5.112142857142857,5.810928571428572,2992.18487585405,3.0,0.9784461259841919,2.0,2025-11-22 22:00:00+00:00,2025-11-18 17:00:00+00:00,5.112142857142857,tp,246.90575294517942,1
APT,2025-11-19 18:00:00+00:00,2.733,-1.0,2.584301757190776,2.769145823747646,4389.565259919357,3.0,0.9462445974349976,4.11,2025-11-24 22:00:00+00:00,2025-11-19 20:00:00+00:00,2.769145823747646,sl,-63.761485044201365,1
APT,2025-11-20 04:00:00+00:00,2.999,-1.0,2.8262548466374686,3.040991187984064,4341.744146136207,3.0,0.9441346526145935,4.11,2025-11-25 08:00:00+00:00,2025-11-20 12:00:00+00:00,3.040991187984064,sl,-66.43619623929814,1
APT,2025-11-21 04:00:00+00:00,2.699,-1.0,2.4654014403393045,2.7557835382966314,2861.2779993044887,2.0,0.8541050553321838,4.11,2025-11-26 08:00:00+00:00,2025-11-21 07:00:00+00:00,2.4654014403393045,tp,244.782449094569,1
FIL,2025-11-21 07:00:00+00:00,1.649,-1.0,1.4711019372331888,1.692243766034725,1491.8346119258865,1.0,0.8481802940368652,4.11,2025-11-26 11:00:00+00:00,2025-11-21 16:00:00+00:00,1.692243766034725,sl,-41.06160871935305,1
APT,2025-11-21 07:00:00+00:00,2.547,-1.0,2.2969612055732687,2.607779858743979,4475.503835777659,3.0,0.9288122653961182,4.11,2025-11-26 11:00:00+00:00,2025-11-22 05:00:00+00:00,2.2969612055732687,tp,434.884364067661,1
POL,2025-11-21 07:00:00+00:00,0.134,-1.0,0.1226635993105839,0.1367556717114542,4475.503835777659,3.0,0.9664726853370667,4.11,2025-11-26 11:00:00+00:00,2025-11-24 17:00:00+00:00,0.1367556717114542,sl,-97.85561255932593,1
DOT,2025-11-24 20:00:00+00:00,2.386,-1.0,2.2687099668930544,2.4145110622959978,3131.6527952462643,2.0,0.861948549747467,4.11,2025-11-30 00:00:00+00:00,2025-11-25 07:00:00+00:00,2.2687099668930544,tp,150.81288200521203,1
APT,2025-11-25 14:00:00+00:00,2.217,-1.0,2.1151686951058943,2.241753328144015,3207.0592362488705,2.0,0.8701503872871399,4.11,2025-11-30 18:00:00+00:00,2025-11-25 16:00:00+00:00,2.241753328144015,sl,-39.97675014747659,1
ICP,2025-11-25 17:00:00+00:00,4.414,-1.0,4.145714285714286,4.548142857142857,3585.454718822024,3.0,0.9692728519439697,2.0,2025-11-30 21:00:00+00:00,2025-11-26 10:00:00+00:00,4.145714285714286,tp,214.34075286573844,1
ATOM,2025-11-21 07:00:00+00:00,2.588,-1.0,2.366424895615958,2.6418608561784227,4475.503835777659,3.0,0.9303373098373413,4.11,2025-11-26 11:00:00+00:00,2025-11-26 11:00:00+00:00,2.466,time,206.50265225575015,1
APT,2025-11-27 16:00:00+00:00,2.335,-1.0,2.2525534495315194,2.3550412488105756,3397.4925637358765,2.0,0.8770318627357483,4.11,2025-12-02 20:00:00+00:00,2025-11-28 00:00:00+00:00,2.2525534495315194,tp,116.56462397687973,1
APT,2025-11-28 04:00:00+00:00,2.189,-1.0,2.101645916765538,2.210234180287396,1727.887437862158,1.0,0.8423856496810913,4.11,2025-12-03 08:00:00+00:00,2025-11-28 08:00:00+00:00,2.210234180287396,sl,-19.007456671455436,1
POL,2025-11-26 18:00:00+00:00,0.1386,-1.0,0.13327532694891062,0.13989433065234969,3397.4925637358765,2.0,0.8561484217643738,4.11,2025-12-01 22:00:00+00:00,2025-11-29 17:00:00+00:00,0.13327532694891062,tp,127.12586310293804,1
APT,2025-11-29 17:00:00+00:00,1.977,-1.0,1.892345059786828,1.997578067975145,5264.751118410086,3.0,0.9842458367347717,4.11,2025-12-04 21:00:00+00:00,2025-11-29 18:00:00+00:00,1.997578067975145,sl,-61.643572704242935,1
ATOM,2025-11-28 17:00:00+00:00,2.448,-1.0,2.3540207475314636,2.470844637781103,3446.2711473885884,2.0,0.8643995523452759,4.11,2025-12-03 21:00:00+00:00,2025-12-01 00:00:00+00:00,2.3540207475314636,tp,128.85682780500704,1
NEAR,2025-11-30 20:00:00+00:00,1.805,-1.0,1.6781402779993912,1.8358372786757968,1739.506146293968,1.0,0.8208853602409363,4.11,2025-12-06 00:00:00+00:00,2025-12-01 00:00:00+00:00,1.6781402779993912,tp,120.51715099343065,1
DOT,2025-11-30 23:00:00+00:00,2.21,-1.0,2.1341786187655933,2.228430791316869,3479.012292587936,2.0,0.8678332567214966,4.11,2025-12-06 03:00:00+00:00,2025-12-01 00:00:00+00:00,2.1341786187655933,tp,115.88004533433374,1
AVAX,2025-11-30 20:00:00+00:00,13.71,-1.0,12.82664410212342,13.9247276658276,1739.506146293968,1.0,0.824770987033844,4.11,2025-12-06 00:00:00+00:00,2025-12-01 12:00:00+00:00,12.82664410212342,tp,110.33948828998156,1
NEAR,2025-12-01 00:00:00+00:00,1.674,-1.0,1.5333991862546443,1.7081774868108928,5492.4589569814825,3.0,0.949209451675415,4.11,2025-12-06 04:00:00+00:00,2025-12-02 08:00:00+00:00,1.7081774868108928,sl,-119.27785707514212,1
OP,2025-12-01 00:00:00+00:00,0.2917,-1.0,0.26387428921688777,0.29846392147356937,5492.4589569814825,3.0,0.9483033418655396,4.11,2025-12-06 04:00:00+00:00,2025-12-02 12:00:00+00:00,0.29846392147356937,sl,-134.49899363353563,1
UNI,2025-12-01 00:00:00+00:00,5.53,-1.0,5.034584567274218,5.650426432584979,5492.4589569814825,3.0,0.9357545375823975,4.11,2025-12-06 04:00:00+00:00,2025-12-02 12:00:00+00:00,5.650426432584979,sl,-126.74910049736572,1
DOT,2025-12-02 14:00:00+00:00,2.145,-1.0,2.06500721591451,2.164444783072166,1763.2730365981454,1.0,0.8425630331039429,4.11,2025-12-07 18:00:00+00:00,2025-12-02 15:00:00+00:00,2.164444783072166,sl,-18.276619373521644,1
ICP,2025-12-02 15:00:00+00:00,3.948,-1.0,3.776142857142857,4.0339285714285715,3957.083733948221,3.0,0.9494847059249878,2.0,2025-12-07 19:00:00+00:00,2025-12-02 20:00:00+00:00,3.776142857142857,tp,168.29547567912596,1
ATOM,2025-12-02 15:00:00+00:00,2.422,-1.0,2.3397988261698184,2.441981602236735,5276.111645264295,3.0,0.9393172860145569,4.11,2025-12-07 19:00:00+00:00,2025-12-03 14:00:00+00:00,2.3397988261698184,tp,173.79183653797955,1
FIL,2025-12-02 15:00:00+00:00,1.566,-1.0,1.4972945412762662,1.58270104067548,5276.111645264295,3.0,0.9591608643531799,4.11,2025-12-07 19:00:00+00:00,2025-12-03 19:00:00+00:00,1.58270104067548,sl,-63.127498903806824,1
DOT,2025-12-03 04:00:00+00:00,2.319,-1.0,2.2127519156165114,2.344826966473153,5402.33325202364,3.0,0.956244707107544,4.11,2025-12-08 08:00:00+00:00,2025-12-03 21:00:00+00:00,2.344826966473153,sl,-67.18943244143583,1
DOT,2025-12-03 21:00:00+00:00,2.36,-1.0,2.2652846176165666,2.383023577502626,3623.2929539454612,2.0,0.8833909630775452,4.11,2025-12-09 01:00:00+00:00,2025-12-03 22:00:00+00:00,2.383023577502626,sl,-40.05823259431634,1
POL,2025-12-04 14:00:00+00:00,0.125,-1.0,0.12075498415742646,0.12603188572744928,3603.2638376483033,2.0,0.8984552621841431,4.11,2025-12-09 18:00:00+00:00,2025-12-04 15:00:00+00:00,0.12603188572744928,sl,-34.42949519936996,1
DOT,2025-12-03 22:00:00+00:00,2.385,-1.0,2.2843955782973895,2.4094550952748097,3603.2638376483033,2.0,0.8578712344169617,4.11,2025-12-09 02:00:00+00:00,2025-12-04 19:00:00+00:00,2.2843955782973895,tp,148.39014271519693,1
TRX,2025-12-04 20:00:00+00:00,0.2862,-1.0,0.28055633731912183,0.287571871198343,1830.1220807031084,1.0,0.8356204032897949,4.11,2025-12-10 00:00:00+00:00,2025-12-05 00:00:00+00:00,0.287571871198343,sl,-11.151666643307182,1
ATOM,2025-12-05 09:00:00+00:00,2.271,-1.0,2.1995953982549765,2.288357152987731,5482.002492126845,3.0,0.9400503635406494,4.11,2025-12-10 13:00:00+00:00,2025-12-05 16:00:00+00:00,2.1995953982549765,tp,166.88268474501237,1
APT,2025-12-05 11:00:00+00:00,1.848,-1.0,1.7756138917017803,1.865595739283095,5482.002492126845,3.0,0.9604658484458923,4.11,2025-12-10 15:00:00+00:00,2025-12-05 16:00:00+00:00,1.7756138917017803,tp,209.24788175365484,1
ICP,2025-12-05 16:00:00+00:00,3.42,-1.0,3.255,3.5025,4323.075312750634,3.0,0.9472857117652893,2.0,2025-12-10 20:00:00+00:00,2025-12-06 00:00:00+00:00,3.5025,sl,-109.90470939836746,1
TRX,2025-12-05 00:00:00+00:00,0.2877,-1.0,0.28190911133614244,0.28910765914264763,3654.668328084563,2.0,0.9063881635665894,4.11,2025-12-10 04:00:00+00:00,2025-12-06 08:00:00+00:00,0.28910765914264763,sl,-22.63263742356566,1
ADA,2025-12-03 20:00:00+00:00,0.4499,-1.0,0.4084068104636307,0.4599862356365131,1828.4438350830897,1.0,0.8307126760482788,4.11,2025-12-09 00:00:00+00:00,2025-12-07 12:00:00+00:00,0.4084068104636307,tp,166.8045115010108,1
POL,2025-12-06 17:00:00+00:00,0.1247,-1.0,0.12062674780423578,0.1256901331257606,3776.4649379229304,2.0,0.8716751933097839,4.11,2025-12-11 21:00:00+00:00,2025-12-07 14:00:00+00:00,0.12062674780423578,tp,119.57954228438001,1
OP,2025-12-09 12:00:00+00:00,0.3319,-1.0,0.297547270638133,0.34025052033773995,5879.485447223439,3.0,0.9404863715171814,4.11,2025-12-14 16:00:00+00:00,2025-12-09 16:00:00+00:00,0.34025052033773995,sl,-155.56970288761386,1
DOT,2025-12-09 15:00:00+00:00,2.218,-1.0,2.128928280297445,2.239651706304283,3919.656964815626,2.0,0.8974118828773499,4.11,2025-12-14 19:00:00+00:00,2025-12-09 16:00:00+00:00,2.239651706304283,sl,-43.358521329158854,1
ATOM,2025-12-09 15:00:00+00:00,2.324,-1.0,2.247687865488995,2.3425500844645506,3919.656964815626,2.0,0.8827788829803467,4.11,2025-12-14 19:00:00+00:00,2025-12-09 16:00:00+00:00,2.3425500844645506,sl,-36.38211505658153,1
APT,2025-12-09 15:00:00+00:00,1.831,-1.0,1.731867838127184,1.8550972158317638,3919.656964815626,2.0,0.8712608218193054,4.11,2025-12-14 19:00:00+00:00,2025-12-09 16:00:00+00:00,1.8550972158317638,sl,-56.68092809447794,1
ATOM,2025-12-09 16:00:00+00:00,2.404,-1.0,2.3078123577867724,2.427381456945672,5660.491996697565,3.0,0.9866668581962585,4.11,2025-12-14 20:00:00+00:00,2025-12-09 21:00:00+00:00,2.3078123577867724,tp,220.82427461277962,1
DOT,2025-12-09 16:00:00+00:00,2.337,-1.0,2.208422641531298,2.368254804692684,5660.491996697565,3.0,0.9696022868156433,4.11,2025-12-14 20:00:00+00:00,2025-12-10 07:00:00+00:00,2.208422641531298,tp,305.76916507159626,1
ICP,2025-12-09 16:00:00+00:00,3.678,-1.0,3.518142857142857,3.7579285714285713,4245.368997523174,3.0,0.9770167469978333,2.0,2025-12-14 20:00:00+00:00,2025-12-10 08:00:00+00:00,3.518142857142857,tp,180.27136790251723,1
POL,2025-12-09 16:00:00+00:00,0.1298,-1.0,0.12442625162125082,0.1311062599671179,1886.8306655658548,1.0,0.8249912858009338,4.11,2025-12-14 20:00:00+00:00,2025-12-10 08:00:00+00:00,0.12442625162125082,tp,76.22837141501005,1
APT,2025-12-11 00:00:00+00:00,1.745,-1.0,1.6252562005100637,1.774107528034408,4165.207920632662,2.0,0.87156081199646,4.11,2025-12-16 04:00:00+00:00,2025-12-12 15:00:00+00:00,1.6252562005100637,tp,281.65589355909935,1
POL,2025-12-11 00:00:00+00:00,0.1216,-1.0,0.11571096068082279,0.12303151777218399,4165.207920632662,2.0,0.8640747666358948,4.11,2025-12-16 04:00:00+00:00,2025-12-12 16:00:00+00:00,0.11571096068082279,tp,197.55414419412142,1
ATOM,2025-12-11 02:00:00+00:00,2.193,-1.0,2.075219213616456,2.22163035544368,6247.811880948992,3.0,0.9380591511726379,4.11,2025-12-16 06:00:00+00:00,2025-12-12 16:00:00+00:00,2.075219213616456,tp,329.3072252894218,1
ICP,2025-12-11 01:00:00+00:00,3.365,-1.0,3.1875714285714287,3.4537142857142857,1561.952970237248,1.0,0.816813588142395,2.0,2025-12-16 05:00:00+00:00,2025-12-14 11:00:00+00:00,3.1875714285714287,tp,80.79617010489171,1
ICP,2025-12-14 23:00:00+00:00,3.066,-1.0,2.9558571428571425,3.1210714285714283,1728.6992389524112,1.0,0.8251445293426514,2.0,2025-12-20 03:00:00+00:00,2025-12-15 01:00:00+00:00,3.1210714285714283,sl,-33.2981689778431,1
UNI,2025-12-15 12:00:00+00:00,5.106,-1.0,4.713642755359819,5.201374871571758,6889.823329076262,3.0,0.9283974766731262,4.11,2025-12-20 16:00:00+00:00,2025-12-16 12:00:00+00:00,5.201374871571758,sl,-137.6516420792197,1
NEAR,2025-12-15 12:00:00+00:00,1.534,-1.0,1.4135200705951665,1.5632864677559308,4593.215552717508,2.0,0.8683617115020752,4.11,2025-12-20 16:00:00+00:00,2025-12-16 16:00:00+00:00,1.5632864677559308,sl,-93.66287459969388,1
APT,2025-12-17 16:00:00+00:00,1.526,-1.0,1.4295669811484732,1.549441103519513,4477.558294378052,2.0,0.853134274482727,4.11,2025-12-22 20:00:00+00:00,2025-12-18 13:00:00+00:00,1.549441103519513,sl,-74.60123698398242,1
DOT,2025-12-17 16:00:00+00:00,1.836,-1.0,1.7317149287229041,1.8613497938824248,2238.779147189026,1.0,0.8278528451919556,4.11,2025-12-22 20:00:00+00:00,2025-12-18 13:00:00+00:00,1.8613497938824248,sl,-33.82140958497998,1
ADA,2025-12-15 12:00:00+00:00,0.3855,-1.0,0.35860672044242414,0.3920372644929736,6889.823329076262,3.0,0.9902088642120361,4.11,2025-12-20 16:00:00+00:00,2025-12-18 16:00:00+00:00,0.35860672044242414,tp,473.7585421473334,1
ARB,2025-12-15 16:00:00+00:00,0.1964,-1.0,0.17564113639990037,0.20144610014694858,4593.215552717508,2.0,0.8996189832687378,4.11,2025-12-20 20:00:00+00:00,2025-12-18 16:00:00+00:00,0.17564113639990037,tp,480.8952525975827,1
POL,2025-12-18 19:00:00+00:00,0.1023,-1.0,0.09518407748932756,0.10402975064138899,7351.010802699043,3.0,0.9688326120376587,4.11,2025-12-23 23:00:00+00:00,2025-12-18 21:00:00+00:00,0.10402975064138899,sl,-133.85167719918846,1
DOT,2025-12-18 19:00:00+00:00,1.727,-1.0,1.6119183566377457,1.754974243131429,7351.010802699043,3.0,0.9392527341842651,4.11,2025-12-23 23:00:00+00:00,2025-12-18 21:00:00+00:00,1.754974243131429,sl,-128.62925177162896,1
OP,2025-12-18 16:00:00+00:00,0.2558,-1.0,0.2220361745700508,0.2640073685605216,4900.673868466029,2.0,0.8995513916015625,4.11,2025-12-23 20:00:00+00:00,2025-12-19 00:00:00+00:00,0.2640073685605216,sl,-163.609486792953,1
UNI,2025-12-20 04:00:00+00:00,5.733,-1.0,5.007421280549709,5.909374918847836,2343.8143302920716,1.0,0.8350083231925964,4.11,2025-12-25 08:00:00+00:00,2025-12-20 12:00:00+00:00,5.909374918847836,sl,-75.15406874618755,1
APT,2025-12-20 08:00:00+00:00,1.685,-1.0,1.605988722467706,1.7042061967768019,7031.442990876215,3.0,0.9342888593673706,4.11,2025-12-25 12:00:00+00:00,2025-12-20 14:00:00+00:00,1.605988722467706,tp,322.679710483678,1
